Temperature - (Celsius), Year, Statistics, Country, ISO3
20.017, 1938, Jun Average, Tanzania, United Republic of, TZA
19.9037, 1938, Jul Average, Tanzania, United Republic of, TZA
20.659, 1938, Aug Average, Tanzania, United Republic of, TZA
22.022, 1938, Sep Average, Tanzania, United Republic of, TZA
23.1938, 1938, Oct Average, Tanzania, United Republic of, TZA
23.0603, 1938, Nov Average, Tanzania, United Republic of, TZA
22.4528, 1938, Dec Average, Tanzania, United Republic of, TZA
22.3298, 1939, Jan Average, Tanzania, United Republic of, TZA
22.7323, 1939, Feb Average, Tanzania, United Republic of, TZA
22.2305, 1939, Mar Average, Tanzania, United Republic of, TZA
21.6851, 1939, Apr Average, Tanzania, United Republic of, TZA
21.0851, 1939, May Average, Tanzania, United Republic of, TZA
19.6792, 1939, Jun Average, Tanzania, United Republic of, TZA
19.9335, 1939, Jul Average, Tanzania, United Republic of, TZA
20.9688, 1939, Aug Average, Tanzania, United Republic of, TZA
21.8909, 1939, Sep Average, Tanzania, United Republic of, TZA
23.5059, 1939, Oct Average, Tanzania, United Republic of, TZA
23.3622, 1939, Nov Average, Tanzania, United Republic of, TZA
23.0213, 1939, Dec Average, Tanzania, United Republic of, TZA
23.0377, 1940, Jan Average, Tanzania, United Republic of, TZA
22.8866, 1940, Feb Average, Tanzania, United Republic of, TZA
22.6628, 1940, Mar Average, Tanzania, United Republic of, TZA
22.0544, 1940, Apr Average, Tanzania, United Republic of, TZA
21.6111, 1940, May Average, Tanzania, United Republic of, TZA
20.7865, 1940, Jun Average, Tanzania, United Republic of, TZA
19.529, 1940, Jul Average, Tanzania, United Republic of, TZA
21.0895, 1940, Aug Average, Tanzania, United Republic of, TZA
22.6852, 1940, Sep Average, Tanzania, United Republic of, TZA
23.4797, 1940, Oct Average, Tanzania, United Republic of, TZA
23.3512, 1940, Nov Average, Tanzania, United Republic of, TZA
23.1962, 1940, Dec Average, Tanzania, United Republic of, TZA
23.1291, 1941, Jan Average, Tanzania, United Republic of, TZA
23.6789, 1941, Feb Average, Tanzania, United Republic of, TZA
22.8155, 1941, Mar Average, Tanzania, United Republic of, TZA
22.6168, 1941, Apr Average, Tanzania, United Republic of, TZA
21.7777, 1941, May Average, Tanzania, United Republic of, TZA
20.8184, 1941, Jun Average, Tanzania, United Republic of, TZA
19.5421, 1941, Jul Average, Tanzania, United Republic of, TZA
21.0323, 1941, Aug Average, Tanzania, United Republic of, TZA
22.6852, 1941, Sep Average, Tanzania, United Republic of, TZA
24.1395, 1941, Oct Average, Tanzania, United Republic of, TZA
23.3625, 1941, Nov Average, Tanzania, United Republic of, TZA
22.4012, 1941, Dec Average, Tanzania, United Republic of, TZA
23.3379, 1942, Jan Average, Tanzania, United Republic of, TZA
23.4347, 1942, Feb Average, Tanzania, United Republic of, TZA
23.2634, 1942, Mar Average, Tanzania, United Republic of, TZA
22.3141, 1942, Apr Average, Tanzania, United Republic of, TZA
21.3148, 1942, May Average, Tanzania, United Republic of, TZA
20.4482, 1942, Jun Average, Tanzania, United Republic of, TZA
19.3733, 1942, Jul Average, Tanzania, United Republic of, TZA
20.5993, 1942, Aug Average, Tanzania, United Republic of, TZA
21.891, 1942, Sep Average, Tanzania, United Republic of, TZA
22.8917, 1942, Oct Average, Tanzania, United Republic of, TZA
22.6452, 1942, Nov Average, Tanzania, United Republic of, TZA
22.6282, 1942, Dec Average, Tanzania, United Republic of, TZA
23.046, 1943, Jan Average, Tanzania, United Republic of, TZA
22.368, 1943, Feb Average, Tanzania, United Republic of, TZA
22.5976, 1943, Mar Average, Tanzania, United Republic of, TZA
22.3242, 1943, Apr Average, Tanzania, United Republic of, TZA
21.4927, 1943, May Average, Tanzania, United Republic of, TZA
19.9306, 1943, Jun Average, Tanzania, United Republic of, TZA
19.3586, 1943, Jul Average, Tanzania, United Republic of, TZA
20.609, 1943, Aug Average, Tanzania, United Republic of, TZA
21.4441, 1943, Sep Average, Tanzania, United Republic of, TZA
23.1268, 1943, Oct Average, Tanzania, United Republic of, TZA
23.8607, 1943, Nov Average, Tanzania, United Republic of, TZA
23.4752, 1943, Dec Average, Tanzania, United Republic of, TZA
22.7928, 1944, Jan Average, Tanzania, United Republic of, TZA
22.9439, 1944, Feb Average, Tanzania, United Republic of, TZA
22.4965, 1944, Mar Average, Tanzania, United Republic of, TZA
22.1709, 1944, Apr Average, Tanzania, United Republic of, TZA
21.384, 1944, May Average, Tanzania, United Republic of, TZA
20.9428, 1944, Jun Average, Tanzania, United Republic of, TZA
20.1327, 1944, Jul Average, Tanzania, United Republic of, TZA
20.9567, 1944, Aug Average, Tanzania, United Republic of, TZA
22.2921, 1944, Sep Average, Tanzania, United Republic of, TZA
23.5635, 1944, Oct Average, Tanzania, United Republic of, TZA
23.0085, 1944, Nov Average, Tanzania, United Republic of, TZA
22.8909, 1944, Dec Average, Tanzania, United Republic of, TZA
22.9131, 1945, Jan Average, Tanzania, United Republic of, TZA
22.7528, 1945, Feb Average, Tanzania, United Republic of, TZA
22.9884, 1945, Mar Average, Tanzania, United Republic of, TZA
22.5111, 1945, Apr Average, Tanzania, United Republic of, TZA
21.5031, 1945, May Average, Tanzania, United Republic of, TZA
19.8173, 1945, Jun Average, Tanzania, United Republic of, TZA
19.4996, 1945, Jul Average, Tanzania, United Republic of, TZA
20.67, 1945, Aug Average, Tanzania, United Republic of, TZA
21.859, 1945, Sep Average, Tanzania, United Republic of, TZA
23.7964, 1945, Oct Average, Tanzania, United Republic of, TZA
23.6336, 1945, Nov Average, Tanzania, United Republic of, TZA
22.5093, 1945, Dec Average, Tanzania, United Republic of, TZA
23.2835, 1946, Jan Average, Tanzania, United Republic of, TZA
23.5923, 1946, Feb Average, Tanzania, United Republic of, TZA
23.1365, 1946, Mar Average, Tanzania, United Republic of, TZA
22.1935, 1946, Apr Average, Tanzania, United Republic of, TZA
21.6072, 1946, May Average, Tanzania, United Republic of, TZA
20.2176, 1946, Jun Average, Tanzania, United Republic of, TZA
19.564, 1946, Jul Average, Tanzania, United Republic of, TZA
20.413, 1946, Aug Average, Tanzania, United Republic of, TZA
21.911, 1946, Sep Average, Tanzania, United Republic of, TZA
23.6066, 1946, Oct Average, Tanzania, United Republic of, TZA
22.9805, 1946, Nov Average, Tanzania, United Republic of, TZA
22.8635, 1946, Dec Average, Tanzania, United Republic of, TZA
23.1126, 1947, Jan Average, Tanzania, United Republic of, TZA
22.7105, 1947, Feb Average, Tanzania, United Republic of, TZA
22.5081, 1947, Mar Average, Tanzania, United Republic of, TZA
22.4106, 1947, Apr Average, Tanzania, United Republic of, TZA
20.8746, 1947, May Average, Tanzania, United Republic of, TZA
20.0162, 1947, Jun Average, Tanzania, United Republic of, TZA
19.9112, 1947, Jul Average, Tanzania, United Republic of, TZA
20.2606, 1947, Aug Average, Tanzania, United Republic of, TZA
22.0124, 1947, Sep Average, Tanzania, United Republic of, TZA
23.3326, 1947, Oct Average, Tanzania, United Republic of, TZA
23.6759, 1947, Nov Average, Tanzania, United Republic of, TZA
22.7327, 1947, Dec Average, Tanzania, United Republic of, TZA
23.0198, 1948, Jan Average, Tanzania, United Republic of, TZA
23.1263, 1948, Feb Average, Tanzania, United Republic of, TZA
22.5899, 1948, Mar Average, Tanzania, United Republic of, TZA
22.5155, 1948, Apr Average, Tanzania, United Republic of, TZA
21.9816, 1948, May Average, Tanzania, United Republic of, TZA
20.5378, 1948, Jun Average, Tanzania, United Republic of, TZA
19.783, 1948, Jul Average, Tanzania, United Republic of, TZA
20.9888, 1948, Aug Average, Tanzania, United Republic of, TZA
21.9425, 1948, Sep Average, Tanzania, United Republic of, TZA
23.5236, 1948, Oct Average, Tanzania, United Republic of, TZA
23.6517, 1948, Nov Average, Tanzania, United Republic of, TZA
23.1131, 1948, Dec Average, Tanzania, United Republic of, TZA
23.0183, 1949, Jan Average, Tanzania, United Republic of, TZA
22.8449, 1949, Feb Average, Tanzania, United Republic of, TZA
23.657, 1949, Mar Average, Tanzania, United Republic of, TZA
22.7107, 1949, Apr Average, Tanzania, United Republic of, TZA
22.1373, 1949, May Average, Tanzania, United Republic of, TZA
20.9171, 1949, Jun Average, Tanzania, United Republic of, TZA
20.4288, 1949, Jul Average, Tanzania, United Republic of, TZA
21.6114, 1949, Aug Average, Tanzania, United Republic of, TZA
22.4023, 1949, Sep Average, Tanzania, United Republic of, TZA
23.5681, 1949, Oct Average, Tanzania, United Republic of, TZA
24.2348, 1949, Nov Average, Tanzania, United Republic of, TZA
23.4335, 1949, Dec Average, Tanzania, United Republic of, TZA
22.7768, 1950, Jan Average, Tanzania, United Republic of, TZA
22.6551, 1950, Feb Average, Tanzania, United Republic of, TZA
22.4517, 1950, Mar Average, Tanzania, United Republic of, TZA
21.9902, 1950, Apr Average, Tanzania, United Republic of, TZA
21.0288, 1950, May Average, Tanzania, United Republic of, TZA
20.1368, 1950, Jun Average, Tanzania, United Republic of, TZA
19.8228, 1950, Jul Average, Tanzania, United Republic of, TZA
20.8192, 1950, Aug Average, Tanzania, United Republic of, TZA
21.8246, 1950, Sep Average, Tanzania, United Republic of, TZA
22.5131, 1950, Oct Average, Tanzania, United Republic of, TZA
23.3067, 1950, Nov Average, Tanzania, United Republic of, TZA
23.0127, 1950, Dec Average, Tanzania, United Republic of, TZA
22.8891, 1951, Jan Average, Tanzania, United Republic of, TZA
22.572, 1951, Feb Average, Tanzania, United Republic of, TZA
23.0089, 1951, Mar Average, Tanzania, United Republic of, TZA
22.2454, 1951, Apr Average, Tanzania, United Republic of, TZA
21.5462, 1951, May Average, Tanzania, United Republic of, TZA
20.2414, 1951, Jun Average, Tanzania, United Republic of, TZA
20.0509, 1951, Jul Average, Tanzania, United Republic of, TZA
21.025, 1951, Aug Average, Tanzania, United Republic of, TZA
22.6706, 1951, Sep Average, Tanzania, United Republic of, TZA
23.894, 1951, Oct Average, Tanzania, United Republic of, TZA
23.6864, 1951, Nov Average, Tanzania, United Republic of, TZA
22.7677, 1951, Dec Average, Tanzania, United Republic of, TZA
23.6921, 1952, Jan Average, Tanzania, United Republic of, TZA
23.5601, 1952, Feb Average, Tanzania, United Republic of, TZA
23.6038, 1952, Mar Average, Tanzania, United Republic of, TZA
22.9371, 1952, Apr Average, Tanzania, United Republic of, TZA
22.0007, 1952, May Average, Tanzania, United Republic of, TZA
20.2937, 1952, Jun Average, Tanzania, United Republic of, TZA
20.2304, 1952, Jul Average, Tanzania, United Republic of, TZA
21.156, 1952, Aug Average, Tanzania, United Republic of, TZA
22.1753, 1952, Sep Average, Tanzania, United Republic of, TZA
23.539, 1952, Oct Average, Tanzania, United Republic of, TZA
23.4433, 1952, Nov Average, Tanzania, United Republic of, TZA
23.7598, 1952, Dec Average, Tanzania, United Republic of, TZA
23.6088, 1953, Jan Average, Tanzania, United Republic of, TZA
23.6341, 1953, Feb Average, Tanzania, United Republic of, TZA
23.3975, 1953, Mar Average, Tanzania, United Republic of, TZA
22.9901, 1953, Apr Average, Tanzania, United Republic of, TZA
22.1435, 1953, May Average, Tanzania, United Republic of, TZA
20.6355, 1953, Jun Average, Tanzania, United Republic of, TZA
20.1594, 1953, Jul Average, Tanzania, United Republic of, TZA
21.2667, 1953, Aug Average, Tanzania, United Republic of, TZA
21.8689, 1953, Sep Average, Tanzania, United Republic of, TZA
23.6179, 1953, Oct Average, Tanzania, United Republic of, TZA
24.4832, 1953, Nov Average, Tanzania, United Republic of, TZA
23.5933, 1953, Dec Average, Tanzania, United Republic of, TZA
23.1862, 1954, Jan Average, Tanzania, United Republic of, TZA
23.6126, 1954, Feb Average, Tanzania, United Republic of, TZA
23.4938, 1954, Mar Average, Tanzania, United Republic of, TZA
22.6122, 1954, Apr Average, Tanzania, United Republic of, TZA
21.8415, 1954, May Average, Tanzania, United Republic of, TZA
20.0712, 1954, Jun Average, Tanzania, United Republic of, TZA
20.0608, 1954, Jul Average, Tanzania, United Republic of, TZA
21.176, 1954, Aug Average, Tanzania, United Republic of, TZA
22.377, 1954, Sep Average, Tanzania, United Republic of, TZA
23.7056, 1954, Oct Average, Tanzania, United Republic of, TZA
23.4296, 1954, Nov Average, Tanzania, United Republic of, TZA
23.4068, 1954, Dec Average, Tanzania, United Republic of, TZA
23.279, 1955, Jan Average, Tanzania, United Republic of, TZA
22.9675, 1955, Feb Average, Tanzania, United Republic of, TZA
23.0314, 1955, Mar Average, Tanzania, United Republic of, TZA
22.49, 1955, Apr Average, Tanzania, United Republic of, TZA
21.4278, 1955, May Average, Tanzania, United Republic of, TZA
20.1735, 1955, Jun Average, Tanzania, United Republic of, TZA
20.3516, 1955, Jul Average, Tanzania, United Republic of, TZA
20.8951, 1955, Aug Average, Tanzania, United Republic of, TZA
22.1477, 1955, Sep Average, Tanzania, United Republic of, TZA
23.6768, 1955, Oct Average, Tanzania, United Republic of, TZA
24.1257, 1955, Nov Average, Tanzania, United Republic of, TZA
23.0544, 1955, Dec Average, Tanzania, United Republic of, TZA
22.2527, 1956, Jan Average, Tanzania, United Republic of, TZA
22.97, 1956, Feb Average, Tanzania, United Republic of, TZA
23.0382, 1956, Mar Average, Tanzania, United Republic of, TZA
22.2362, 1956, Apr Average, Tanzania, United Republic of, TZA
21.5773, 1956, May Average, Tanzania, United Republic of, TZA
20.1425, 1956, Jun Average, Tanzania, United Republic of, TZA
19.3575, 1956, Jul Average, Tanzania, United Republic of, TZA
21.0334, 1956, Aug Average, Tanzania, United Republic of, TZA
21.6649, 1956, Sep Average, Tanzania, United Republic of, TZA
23.2331, 1956, Oct Average, Tanzania, United Republic of, TZA
23.5232, 1956, Nov Average, Tanzania, United Republic of, TZA
22.973, 1956, Dec Average, Tanzania, United Republic of, TZA
22.7724, 1957, Jan Average, Tanzania, United Republic of, TZA
22.4985, 1957, Feb Average, Tanzania, United Republic of, TZA
22.8285, 1957, Mar Average, Tanzania, United Republic of, TZA
22.581, 1957, Apr Average, Tanzania, United Republic of, TZA
21.541, 1957, May Average, Tanzania, United Republic of, TZA
20.2101, 1957, Jun Average, Tanzania, United Republic of, TZA
20.2165, 1957, Jul Average, Tanzania, United Republic of, TZA
21.3183, 1957, Aug Average, Tanzania, United Republic of, TZA
22.6953, 1957, Sep Average, Tanzania, United Republic of, TZA
24.1025, 1957, Oct Average, Tanzania, United Republic of, TZA
24.5236, 1957, Nov Average, Tanzania, United Republic of, TZA
23.3137, 1957, Dec Average, Tanzania, United Republic of, TZA
23.6134, 1958, Jan Average, Tanzania, United Republic of, TZA
23.3515, 1958, Feb Average, Tanzania, United Republic of, TZA
23.4744, 1958, Mar Average, Tanzania, United Republic of, TZA
23.4349, 1958, Apr Average, Tanzania, United Republic of, TZA
21.8465, 1958, May Average, Tanzania, United Republic of, TZA
20.5311, 1958, Jun Average, Tanzania, United Republic of, TZA
19.7544, 1958, Jul Average, Tanzania, United Republic of, TZA
21.1976, 1958, Aug Average, Tanzania, United Republic of, TZA
23.0004, 1958, Sep Average, Tanzania, United Republic of, TZA
23.9076, 1958, Oct Average, Tanzania, United Republic of, TZA
24.3023, 1958, Nov Average, Tanzania, United Republic of, TZA
23.4552, 1958, Dec Average, Tanzania, United Republic of, TZA
23.6055, 1959, Jan Average, Tanzania, United Republic of, TZA
23.4175, 1959, Feb Average, Tanzania, United Republic of, TZA
23.2263, 1959, Mar Average, Tanzania, United Republic of, TZA
22.8761, 1959, Apr Average, Tanzania, United Republic of, TZA
22.2996, 1959, May Average, Tanzania, United Republic of, TZA
20.8479, 1959, Jun Average, Tanzania, United Republic of, TZA
20.2023, 1959, Jul Average, Tanzania, United Republic of, TZA
21.2489, 1959, Aug Average, Tanzania, United Republic of, TZA
22.2332, 1959, Sep Average, Tanzania, United Republic of, TZA
23.4612, 1959, Oct Average, Tanzania, United Republic of, TZA
23.5834, 1959, Nov Average, Tanzania, United Republic of, TZA
23.2466, 1959, Dec Average, Tanzania, United Republic of, TZA
22.9715, 1960, Jan Average, Tanzania, United Republic of, TZA
23.0367, 1960, Feb Average, Tanzania, United Republic of, TZA
22.5865, 1960, Mar Average, Tanzania, United Republic of, TZA
22.2335, 1960, Apr Average, Tanzania, United Republic of, TZA
21.6283, 1960, May Average, Tanzania, United Republic of, TZA
20.5997, 1960, Jun Average, Tanzania, United Republic of, TZA
19.6838, 1960, Jul Average, Tanzania, United Republic of, TZA
21.1095, 1960, Aug Average, Tanzania, United Republic of, TZA
22.1636, 1960, Sep Average, Tanzania, United Republic of, TZA
23.5405, 1960, Oct Average, Tanzania, United Republic of, TZA
23.6049, 1960, Nov Average, Tanzania, United Republic of, TZA
23.6713, 1960, Dec Average, Tanzania, United Republic of, TZA
24.0206, 1961, Jan Average, Tanzania, United Republic of, TZA
23.0945, 1961, Feb Average, Tanzania, United Republic of, TZA
23.3825, 1961, Mar Average, Tanzania, United Republic of, TZA
23.0368, 1961, Apr Average, Tanzania, United Republic of, TZA
22.8272, 1961, May Average, Tanzania, United Republic of, TZA
21.1302, 1961, Jun Average, Tanzania, United Republic of, TZA
20.6065, 1961, Jul Average, Tanzania, United Republic of, TZA
21.0217, 1961, Aug Average, Tanzania, United Republic of, TZA
22.4198, 1961, Sep Average, Tanzania, United Republic of, TZA
23.7141, 1961, Oct Average, Tanzania, United Republic of, TZA
22.7634, 1961, Nov Average, Tanzania, United Republic of, TZA
22.7421, 1961, Dec Average, Tanzania, United Republic of, TZA
22.2891, 1962, Jan Average, Tanzania, United Republic of, TZA
22.9315, 1962, Feb Average, Tanzania, United Republic of, TZA
22.906, 1962, Mar Average, Tanzania, United Republic of, TZA
22.7431, 1962, Apr Average, Tanzania, United Republic of, TZA
21.0064, 1962, May Average, Tanzania, United Republic of, TZA
20.3319, 1962, Jun Average, Tanzania, United Republic of, TZA
20.129, 1962, Jul Average, Tanzania, United Republic of, TZA
21.1834, 1962, Aug Average, Tanzania, United Republic of, TZA
22.0078, 1962, Sep Average, Tanzania, United Republic of, TZA
22.7752, 1962, Oct Average, Tanzania, United Republic of, TZA
23.4877, 1962, Nov Average, Tanzania, United Republic of, TZA
23.0551, 1962, Dec Average, Tanzania, United Republic of, TZA
22.4577, 1963, Jan Average, Tanzania, United Republic of, TZA
22.8166, 1963, Feb Average, Tanzania, United Republic of, TZA
22.7617, 1963, Mar Average, Tanzania, United Republic of, TZA
22.0617, 1963, Apr Average, Tanzania, United Republic of, TZA
21.0578, 1963, May Average, Tanzania, United Republic of, TZA
19.9015, 1963, Jun Average, Tanzania, United Republic of, TZA
20.2852, 1963, Jul Average, Tanzania, United Republic of, TZA
20.5178, 1963, Aug Average, Tanzania, United Republic of, TZA
21.9419, 1963, Sep Average, Tanzania, United Republic of, TZA
23.8386, 1963, Oct Average, Tanzania, United Republic of, TZA
22.8241, 1963, Nov Average, Tanzania, United Republic of, TZA
22.846, 1963, Dec Average, Tanzania, United Republic of, TZA
22.9651, 1964, Jan Average, Tanzania, United Republic of, TZA
23.274, 1964, Feb Average, Tanzania, United Republic of, TZA
23.2227, 1964, Mar Average, Tanzania, United Republic of, TZA
22.6188, 1964, Apr Average, Tanzania, United Republic of, TZA
21.1417, 1964, May Average, Tanzania, United Republic of, TZA
20.1643, 1964, Jun Average, Tanzania, United Republic of, TZA
19.0411, 1964, Jul Average, Tanzania, United Republic of, TZA
20.4908, 1964, Aug Average, Tanzania, United Republic of, TZA
21.307, 1964, Sep Average, Tanzania, United Republic of, TZA
22.878, 1964, Oct Average, Tanzania, United Republic of, TZA
23.4645, 1964, Nov Average, Tanzania, United Republic of, TZA
22.9476, 1964, Dec Average, Tanzania, United Republic of, TZA
22.4138, 1965, Jan Average, Tanzania, United Republic of, TZA
22.7245, 1965, Feb Average, Tanzania, United Republic of, TZA
22.8167, 1965, Mar Average, Tanzania, United Republic of, TZA
22.2977, 1965, Apr Average, Tanzania, United Republic of, TZA
21.2585, 1965, May Average, Tanzania, United Republic of, TZA
19.7254, 1965, Jun Average, Tanzania, United Republic of, TZA
19.738, 1965, Jul Average, Tanzania, United Republic of, TZA
20.6828, 1965, Aug Average, Tanzania, United Republic of, TZA
22.1012, 1965, Sep Average, Tanzania, United Republic of, TZA
22.9596, 1965, Oct Average, Tanzania, United Republic of, TZA
23.718, 1965, Nov Average, Tanzania, United Republic of, TZA
23.1435, 1965, Dec Average, Tanzania, United Republic of, TZA
23.4465, 1966, Jan Average, Tanzania, United Republic of, TZA
23.3657, 1966, Feb Average, Tanzania, United Republic of, TZA
23.0267, 1966, Mar Average, Tanzania, United Republic of, TZA
22.4066, 1966, Apr Average, Tanzania, United Republic of, TZA
21.9925, 1966, May Average, Tanzania, United Republic of, TZA
20.6842, 1966, Jun Average, Tanzania, United Republic of, TZA
20.4747, 1966, Jul Average, Tanzania, United Republic of, TZA
21.3945, 1966, Aug Average, Tanzania, United Republic of, TZA
22.6463, 1966, Sep Average, Tanzania, United Republic of, TZA
23.3277, 1966, Oct Average, Tanzania, United Republic of, TZA
23.4616, 1966, Nov Average, Tanzania, United Republic of, TZA
23.363, 1966, Dec Average, Tanzania, United Republic of, TZA
23.1644, 1967, Jan Average, Tanzania, United Republic of, TZA
23.4705, 1967, Feb Average, Tanzania, United Republic of, TZA
23.5339, 1967, Mar Average, Tanzania, United Republic of, TZA
22.5746, 1967, Apr Average, Tanzania, United Republic of, TZA
21.7053, 1967, May Average, Tanzania, United Republic of, TZA
20.3988, 1967, Jun Average, Tanzania, United Republic of, TZA
19.9621, 1967, Jul Average, Tanzania, United Republic of, TZA
20.7837, 1967, Aug Average, Tanzania, United Republic of, TZA
21.9119, 1967, Sep Average, Tanzania, United Republic of, TZA
23.401, 1967, Oct Average, Tanzania, United Republic of, TZA
23.2163, 1967, Nov Average, Tanzania, United Republic of, TZA
22.6799, 1967, Dec Average, Tanzania, United Republic of, TZA
22.3613, 1968, Jan Average, Tanzania, United Republic of, TZA
22.5157, 1968, Feb Average, Tanzania, United Republic of, TZA
22.153, 1968, Mar Average, Tanzania, United Republic of, TZA
21.8137, 1968, Apr Average, Tanzania, United Republic of, TZA
21.2708, 1968, May Average, Tanzania, United Republic of, TZA
19.5949, 1968, Jun Average, Tanzania, United Republic of, TZA
19.6858, 1968, Jul Average, Tanzania, United Republic of, TZA
20.495, 1968, Aug Average, Tanzania, United Republic of, TZA
21.8885, 1968, Sep Average, Tanzania, United Republic of, TZA
23.3714, 1968, Oct Average, Tanzania, United Republic of, TZA
23.0659, 1968, Nov Average, Tanzania, United Republic of, TZA
22.9626, 1968, Dec Average, Tanzania, United Republic of, TZA
23.1074, 1969, Jan Average, Tanzania, United Republic of, TZA
23.1431, 1969, Feb Average, Tanzania, United Republic of, TZA
23.4667, 1969, Mar Average, Tanzania, United Republic of, TZA
23.4341, 1969, Apr Average, Tanzania, United Republic of, TZA
22.0457, 1969, May Average, Tanzania, United Republic of, TZA
20.5815, 1969, Jun Average, Tanzania, United Republic of, TZA
20.3796, 1969, Jul Average, Tanzania, United Republic of, TZA
21.1533, 1969, Aug Average, Tanzania, United Republic of, TZA
22.4624, 1969, Sep Average, Tanzania, United Republic of, TZA
23.9647, 1969, Oct Average, Tanzania, United Republic of, TZA
23.933, 1969, Nov Average, Tanzania, United Republic of, TZA
23.1653, 1969, Dec Average, Tanzania, United Republic of, TZA
22.8843, 1970, Jan Average, Tanzania, United Republic of, TZA
23.5633, 1970, Feb Average, Tanzania, United Republic of, TZA
23.1361, 1970, Mar Average, Tanzania, United Republic of, TZA
22.4274, 1970, Apr Average, Tanzania, United Republic of, TZA
21.5363, 1970, May Average, Tanzania, United Republic of, TZA
20.6638, 1970, Jun Average, Tanzania, United Republic of, TZA
20.5641, 1970, Jul Average, Tanzania, United Republic of, TZA
21.0676, 1970, Aug Average, Tanzania, United Republic of, TZA
22.408, 1970, Sep Average, Tanzania, United Republic of, TZA
23.017, 1970, Oct Average, Tanzania, United Republic of, TZA
23.6595, 1970, Nov Average, Tanzania, United Republic of, TZA
22.3938, 1970, Dec Average, Tanzania, United Republic of, TZA
22.4547, 1971, Jan Average, Tanzania, United Republic of, TZA
22.37, 1971, Feb Average, Tanzania, United Republic of, TZA
22.8599, 1971, Mar Average, Tanzania, United Republic of, TZA
22.5215, 1971, Apr Average, Tanzania, United Republic of, TZA
21.22, 1971, May Average, Tanzania, United Republic of, TZA
19.5353, 1971, Jun Average, Tanzania, United Republic of, TZA
19.9549, 1971, Jul Average, Tanzania, United Republic of, TZA
20.5084, 1971, Aug Average, Tanzania, United Republic of, TZA
22.0032, 1971, Sep Average, Tanzania, United Republic of, TZA
22.7966, 1971, Oct Average, Tanzania, United Republic of, TZA
23.3484, 1971, Nov Average, Tanzania, United Republic of, TZA
22.7396, 1971, Dec Average, Tanzania, United Republic of, TZA
22.7536, 1972, Jan Average, Tanzania, United Republic of, TZA
22.2996, 1972, Feb Average, Tanzania, United Republic of, TZA
22.8489, 1972, Mar Average, Tanzania, United Republic of, TZA
22.7887, 1972, Apr Average, Tanzania, United Republic of, TZA
22.2374, 1972, May Average, Tanzania, United Republic of, TZA
20.3407, 1972, Jun Average, Tanzania, United Republic of, TZA
20.109, 1972, Jul Average, Tanzania, United Republic of, TZA
21.2222, 1972, Aug Average, Tanzania, United Republic of, TZA
22.6199, 1972, Sep Average, Tanzania, United Republic of, TZA
23.5442, 1972, Oct Average, Tanzania, United Republic of, TZA
23.2101, 1972, Nov Average, Tanzania, United Republic of, TZA
23.3373, 1972, Dec Average, Tanzania, United Republic of, TZA
23.2244, 1973, Jan Average, Tanzania, United Republic of, TZA
23.4717, 1973, Feb Average, Tanzania, United Republic of, TZA
24.0113, 1973, Mar Average, Tanzania, United Republic of, TZA
22.8876, 1973, Apr Average, Tanzania, United Republic of, TZA
22.0125, 1973, May Average, Tanzania, United Republic of, TZA
20.4693, 1973, Jun Average, Tanzania, United Republic of, TZA
19.7988, 1973, Jul Average, Tanzania, United Republic of, TZA
20.9246, 1973, Aug Average, Tanzania, United Republic of, TZA
22.4952, 1973, Sep Average, Tanzania, United Republic of, TZA
23.7289, 1973, Oct Average, Tanzania, United Republic of, TZA
23.5451, 1973, Nov Average, Tanzania, United Republic of, TZA
22.8948, 1973, Dec Average, Tanzania, United Republic of, TZA
22.7765, 1974, Jan Average, Tanzania, United Republic of, TZA
23.3509, 1974, Feb Average, Tanzania, United Republic of, TZA
22.9025, 1974, Mar Average, Tanzania, United Republic of, TZA
22.1804, 1974, Apr Average, Tanzania, United Republic of, TZA
21.3356, 1974, May Average, Tanzania, United Republic of, TZA
20.2586, 1974, Jun Average, Tanzania, United Republic of, TZA
19.7781, 1974, Jul Average, Tanzania, United Republic of, TZA
20.9139, 1974, Aug Average, Tanzania, United Republic of, TZA
21.6418, 1974, Sep Average, Tanzania, United Republic of, TZA
23.2701, 1974, Oct Average, Tanzania, United Republic of, TZA
23.5778, 1974, Nov Average, Tanzania, United Republic of, TZA
23.426, 1974, Dec Average, Tanzania, United Republic of, TZA
22.9375, 1975, Jan Average, Tanzania, United Republic of, TZA
23.3926, 1975, Feb Average, Tanzania, United Republic of, TZA
22.9942, 1975, Mar Average, Tanzania, United Republic of, TZA
22.5589, 1975, Apr Average, Tanzania, United Republic of, TZA
21.7837, 1975, May Average, Tanzania, United Republic of, TZA
20.3786, 1975, Jun Average, Tanzania, United Republic of, TZA
20.1835, 1975, Jul Average, Tanzania, United Republic of, TZA
20.3949, 1975, Aug Average, Tanzania, United Republic of, TZA
21.8408, 1975, Sep Average, Tanzania, United Republic of, TZA
22.5214, 1975, Oct Average, Tanzania, United Republic of, TZA
23.6527, 1975, Nov Average, Tanzania, United Republic of, TZA
22.9169, 1975, Dec Average, Tanzania, United Republic of, TZA
22.9859, 1976, Jan Average, Tanzania, United Republic of, TZA
22.5016, 1976, Feb Average, Tanzania, United Republic of, TZA
23.0195, 1976, Mar Average, Tanzania, United Republic of, TZA
